No.,Japanese (Kanji),Hiragana,Romaji,English Translation,Part of Speech,Example Sentence (Japanese),Example Sentence (English),Example Sentence (Romaji),Notes
 29  , あそこ           , あそこ         , asoko       , over there                      , Adverb         , あそこに店があります。       , There is a store over there.            , asoko ni mise ga arimasu.          , Refers to a location far from both speaker and listener 
 30  , どこ             , どこ           , doko        , where                           , Pronoun        , トイレはどこですか？         , Where is the toilet?                    , toire wa doko desu ka? , Used to ask about location 
 31  , こちら           , こちら           , kochira       , this side/this place (polite) , Pronoun        , こちらが会議室です。               , This is the meeting room.                     , kochira ga kaigishitsu desu.           , Polite way to refer to the current location                          
 32  , そちら           , そちら           , sochira       , that side/that place (polite) , Pronoun        , そちらの席に座ってください。       , Please sit in that seat.                      , sochira no seki ni suwatte kudasai.    , Polite way to refer to a location near the listener                  
 33  , あちら           , あちら           , achira        , over there (polite)           , Pronoun        , あちらが出口です。                 , Over there is the exit.                       , achira ga deguchi desu.                , Polite way to refer to a location far from both speaker and listener 
 34  , どちら           , どちら           , dochira       , which/where (polite)          , Pronoun        , どちらに行きますか？               , Which way should we go?                       , dochira ni ikimasu ka?                 , Polite way to ask for a location or direction                        
 35  , ある             , ある             , aru           , there is/are                  , Verb           , ここにペンがあります。             , There is a pen here.                          , koko ni pen ga arimasu.                , Indicates the existence of something                                 
 36  , 食堂             , しょくどう       , shokudoo      , dining hall/cafeteria         , Noun           , 食堂でランチを食べます。           , I eat lunch at the cafeteria.                 , shokudoo de ranchi o tabemasu.         , Refers to a place where meals are served                             
 37  , 部屋             , へや             , heya          , room                          , Noun           , 私の部屋は 2 階にあります。        , My room is on the second floor.               , watashi no heya wa ni-kai ni arimasu.  , Refers to a personal or enclosed space                               
 38  , 外               , そと             , soto          , outside                       , Noun/Adverb    , 外は寒いです。                     , It is cold outside.                           , soto wa samui desu.                    , Refers to the external environment                                   
 39  , 中               , なか             , naka          , inside                        , Noun/Adverb    , 中に入ってください。               , Please come inside.                           , naka ni haitte kudasai.                , Refers to the interior of a space                                    
 40  , 受付             , うけつけ         , uketsuke      , reception desk                , Noun           , 受付でチェックインしてください。   , Please check in at the reception desk.        , uketsuke de chekku-in shite kudasai.   , Refers to a desk for visitor check-ins                               
 41  , トイレ           , トイレ           , toire         , restroom                      , Noun           , トイレはどこですか？               , Where is the restroom?                        , toire wa doko desu ka?                 , Commonly used term for restroom                                      
 42  , お手洗い         , おてあらい       , otearai       , restroom                      , Noun           , お手洗いは 1 階にあります。        , The restroom is on the first floor.           , otearai wa ikkai ni arimasu.           , More formal term for restroom                                        
 43  , ～階             , ～階             , ～ kai        , ～ floor                      , Suffix         , 3 階に会議室があります。           , The meeting room is on the 3rd floor.         , san-kai ni kaigishitsu ga arimasu.     , Indicates the floor level in a building                              
 44  , 階段             , かいだん         , kaidan        , stairs                        , Noun           , 階段を上がってください。           , Please go up the stairs.                      , kaidan o agatte kudasai.               , Refers to a series of steps for ascending or descending              
 45  , 何階             , なんかい         , nankai        , which floor                   , Phrase         , 何階にありますか？                 , Which floor is it on?                         , nankai ni arimasu ka?                  , Used to inquire about a floor level                                  
 46  , エレベーター     , エレベーター     , erebeetaa     , elevator                      , Noun           , エレベーターはどこですか？         , Where is the elevator?                        , erebeetaa wa doko desu ka?             , Refers to a device for lifting between floors                        
 47  , ～枚             , ～枚             , ～ mai        , counter for thin objects      , Suffix         , 150 枚の資料があります。           , There are 150 sheets of materials.            , hyaku gojuu-mai no shiryō ga arimasu.  ," Used for counting sheets, tickets, etc.                              "
 48  , 自動販売機       , じどうはんばいき , jidoohambaiki , vending machine               , Noun           , 自動販売機でジュースを買いました。 , I bought a drink from the vending machine.    , jidoohambaiki de juusu o kaimashita.   , Refers to a machine for selling products                             
 49  , 課長             , かちょう         , kachoo        , manager                       , Noun           , 課長は会議に出席しています。       , The manager is attending the meeting.         , kachō wa kaigi ni shusseki shiteimasu. , Refers to a middle management position                               
 50  , 部長             , ぶちょう         , buchoo        , general manager               , Noun           , 部長は会議室にいます。             , The general manager is in the meeting room.   , buchō wa kaigishitsu ni imasu.         , Refers to a senior management position                               
 51  , 社長             , しゃちょう       , shachoo       , company president             , Noun           , 社長は本社にいます。               , The company president is at the headquarters. , shachō wa honsha ni imasu.             , Refers to the top executive in a company                             
 52  , 億               , おく             , oku           , one hundred million           , Noun           , 彼の年収は 1 億円です。            , His annual income is 100 million yen.         , kare no nenshu wa ichi-oku en desu.    ," Used for very large numbers, mainly in finance                       "
