Année du BOPI,Numéro de pages du BOPI,Lettres alphabétiques,Noms des déposants,Numéro de classe,Numéro des pages correspondantes,ERRATA,Numéro de la marque,Renonciation totale,Renonciation partielle
1922,6,A,Aurensan (J.).,[239],,,,,
1922,6,A,Auriac & Masson (Société),[74],,,,,
1922,6,A,Aurousseau (L.G.),[783],,,,,
1922,6,A,Aussal (E.),[1708],,,,,
1922,6,A,Ausserre (H.G.).,[877],,,,,
1922,6,A,Austion Motor C°  Limited (Société The),[1582],,,,,
1922,6,A,Page réelle.,[1592],,,,,
1922,6,A,Autemarre d’Ervillé (J. d’),[1449],,,,,
1922,6,A,Auther Heudeline & Cie (Société R.),[492],,,,,
1922,6,A,Automobiles et Cycles Peugeot (Société anonyme des),[269],,,,,
1922,6,A,Automotion (L’).,[1697],,,,,
1922,6,A,Autopiano C° (Société The),[1419],,,,,
1922,6,A,Auto-spécial Rubber C° Limited (Société dite).,[239],,,,,
1922,6,A,Auto Strop Safety Razor Cie (Société),[684],,,,,
1922,6,A,Auvergne laitière (Société anonyme l’),[1798],,,,,
1922,6,A,Aux Fabriques réunies Firme),[1695],,,,,
1922,6,A,Auxiliaire du Commerce et de l’industrie (Société anonyme),[1761],,,,,
1922,6,A,Avanti (L.).,"[1586, 1596]",,,,,
1922,6,A,Avice de Bellevue & Cie (Société E.),[1386],,,,,
1922,6,A,Avizou (L.),[647],,,,,
1922,6,A,Avon (J.),[1378],,,,,
1922,6,A,Avond (P.),[937],,,,,
1922,6,A,Avril (dame M.).,[799],,,,,
1922,6,A,Avril (J.),[1238],,,,,
1922,6,A,Avril (G.),[1667],,,,,
1922,6,A,Avril (Société manufacture de Verre Optique).,[1667],,,,,
1922,6,A,Avril (dame M.).,[1732],,,,,
1922,6,A,Ayala & Gie,[814],,,,,
1922,6,A,Azema & Farnan (Manna),[1638],,,,,
1922,6,A,Azic Kotliarewsky.,[911],,,,,
1922,,,B,[],,,,,
1922,6,B,Babani (M.).,"[12, 31, 732]",,,,,
1922,6,B,Babec (E.) & Turini F.),[1235],,,,,
1922,6,B,Babies Dispensary et Hospital of Cleveland. (Société The),[1875],,,,,
1922,6,B,Babolat & Maillot (Société anonyme Établissements),[55],,,,,
1922,6,B,Bac (G.) & Gilbert réunies (Anciennes Maisons).,"[166, 167, 406, 1112, 1321]",,,,,
1922,6,B,Baccavin (C.),[176],,,,,
1922,6,B,Baccou (L.L.),[420],,,,,
1922,6,B,Bach & Cie (Th.).,[1806],,,,,
1922,6,B,"Bach (Th.), Lutterbach & Cie (Raison sociale Brasserie)",[1806],,,,,
1922,6,B,Bache et autres (Raison Sociale).,[1840],,,,,
1922,6,B,Bachelet (Établissements J.),[842],,,,,
1922,6,B,Bachelier (F.).,"[177, 294]",,,,,
1922,6,B,Bachelier & Lecadre (Société).,[1073],,,,,
1922,6,B,Bachellier (L.) & Lecadre (M.) (Société),[251],,,,,
1922,6,B,Bachim (A.R.).,[365],,,,,
1922,6,B,Baclet (dame veuve E.),[1749],,,,,
1922,6,B,Bacou (E.),[568],,,,,
1922,6,B,Bacquet & Tarcy (Société),[557],,,,,
1922,6,B,Bacri (M.).,"[231, 501]",,,,,
1922,6,B,Bacri fils (S.),[280],,,,,
1922,6,B,Badaud (F.),[40],,,,,
1922,6,B,Badets & Gros.,[860],,,,,
1922,6,B,Badetty fils,[1605],,,,,
1922,6,B,Badetty & fils (Société anonyme des Huileries M.),[481],,,,,
1922,6,B,Badie (M.),[1028],,,,,
1922,6,B,Badin (R. E.),[927],,,,,
1922,6,B,Badiou & Schillinger,[1671],,,,,
1922,6,B,Badische Anilin & Soda Fabrik (Société dite).,"[792, 1000, 1580]",,,,,
1922,6,B,Page réelle.,[1590],,,,,
1922,6,B,Badol (dame veuve G.),[1089],,,,,
1922,6,B,Baer Kana (R.) & Radlauer,[1306],,,,,
1922,6,B,Baer - Mellinger (C.),[60],,,,,
1922,6,B,Bahier (E.M.J.),[1154],,,,,
1922,6,B,Bahoff (A.L.),[600],,,,,
1922,6,B,Baignol & Farjon (Anciens Établissements).,"[27, 203, 214, 781, 782, 1112, 1246, 1449, 171]",,,,,
1922,6,B,Bailet (G.),[117],,,,,
1922,6,B,Bailhache (J.E.A.),[50],,,,,
1922,6,B,Baillard (G.),[66],,,,,
1922,6,B,Baille-Lemaire & fils (Société).,[1078],,,,,
1922,6,B,Bailleul (L.),[],,,,,
1922,6,B,Bailleul (A.),[],,,,,
1922,6,B,Bailly (A.).,[483],,,,,
1922,6,B,Bailly (M.),[],,,,,
1922,7,B,Bailly & Cie (P.).,"[1129, 1130]",,,,,
1922,7,B,Bailly Maitre (F.). ,"[720, 1706]",,,,,
1922,7,B,Bain (J.),[138],,,,,
1922,7,B,Bakelite Gesellschaft m. b. H. (Société),[1459],,,,,
1922,7,B,Page réelle.,[1549],,,,,
1922,7,B,Baladier (J.),[1454],,,,,
1922,7,B,"Balaré, Verlingue (H.B.J.) (Société des Établissements céramiques de la Grande-Maison)",[942],,,,,
1922,7,B,Balas (A.),[1585],,,,,
1922,7,B,Page réelle.,[1595],,,,,
1922,7,B,Balat (demoiselle J.),[616],,,,,
1922,7,B,Baldur Pianofortefabrik Actien Gesellschaft (Firme),[439],,,,,
1922,7,B,Balès & fils,[1073],,,,,
1922,7,B,Balestra (A.),[1237],,,,,
1922,7,B,Balfour & Cie Limited (Société dite A.),[66],,,,,
1922,7,B,Baligand (J.M.).,[1260],,,,,
1922,7,B,Baligant (G.),[1854],,,,,
1922,7,B,"Ballantyne (D.), Brothers & Co Limited (Société)",[1733],,,,,
1922,7,B,Ballée (H.) et autres (Société anonyme des Établissements).,[1464],,,,,
1922,7,B,Page réelle.,[1554],,,,,
1922,7,B,Ballester (Société J. & J.),[1352],,,,,
1922,7,B,Ballet (E.) &.,[25],,,,,
1922,7,B,Ballet Gallifet (G.),"[162, 163]",,,,,
1922,7,B,Ballon de Truchsess (E.F.),"[627, 1651]",,,,,
1922,7,B,Ballot (Société anonyme des Établissements),"[751, 752]",,,,,
1922,7,B,Balluteaud (A.E.),"[319, 320, 364]",,,,,
1922,7,B,Bally (Société anonyme C.F.),[1434],,,,,
1922,7,B,Bally-Camsal (Société dite Établissements),[78],,,,,
1922,7,B,Bally-Camsat (Société dite Établissements).,[78],,,,,
1922,7,B,Banabéra (G.J.H. L.),[392],,,,,
1922,7,B,Bancal (R.),[7],,,,,
1922,7,B,Bancaud & Cie (Société Léon),[1405],,,,,
1922,7,B,Bancelin (L.E.).,"[1324, 1471]",,,,,
1922,7,B,Bancons & Cie.,[153],,,,,
1922,7,B,Bancroft (J.) & Sons Co (Société),[1012],,,,,
1922,7,B,"Panzain, Dejouy & Orrion (Société).","[596, 598, 601]",,,,,
1922,7,B,Bapt (A.).,"[927, 1656]",,,,,
1922,7,B,Baptistin Giraud & Cie (Société).,[966],,,,,
1922,7,B,Bar (L.),[1645],,,,,
1922,7,B,Baracchini (A.G.),[1102],,,,,
1922,7,B,"Baradé, Luc (Maison Jules)",[1393],,,,,
1922,7,B,Baradé (Maison Jules Luc),[1393],,,,,
1922,7,B,Baranez (dame G.),[1759],,,,,
1922,7,B,Baranne (R.).,"[934, 1257]",,,,,
1922,7,B,Barbaro (L.),[1218],,,,,
1922,7,B,Barbaud (Moret ès Jean) & Odobez.,[38],,,,,
1922,7,B,Barbe (H.) & Giraud (F.) Tefing oil C° (Société).,[1692],,,,,
1922,7,B,Barbe de Bibikoff (dame veuve).,[913],,,,,
1922,7,B,Barbecot (Société des Établissements),[1097],,,,,
