Année du BOPI,Numéro de pages du BOPI,Lettres alphabétiques,Chiffres des marques,Dénomination des marques,Emblême,Numéro de classe,Numéro des pages correspondantes,ERRATA,Numéro de la marque,Renonciation totale,Renonciation partielle
1922,58,A,,Abor (Tapis),,55,1016,,,,
1922,58,A,,Abotane,,13,1455,,,,
1922,58,A,,Above,,28,858,,,,
1922,58,A,,A.B.R. (Doublé).,,75,1039,,,,
1922,58,A,,Abri (Toile),,46,306,,,,
1922,58,A,,Abricot.,,58,1405,,,,
1922,58,A,,Abricotine.,,66,363,,,,
1922,58,A,,Abronéol.,,79,98,,,,
1922,58,A,,Absaline,,79,820,,,,
1922,58,A,,Aby (Cierges).,,70,1184,,,,
1922,58,A,,A. C,,47,197,,,,
1922,58,A,,A. C.,,21,1819,,,,
1922,58,A,,A.C. aux abeilles. (Cire).,,53,392,,,,
1922,58,A,,A.C. avec oiseau (Dessin),,68,1359,,,,
1922,58,A,,Acacia rose.,,58,1375,,,,
1922,58,A,,Académiciens (Les),,62,720,,,,
1922,58,A,,Acanthe (Plume).,,72,1653,,,,
1922,58,A,,Accacia fleuri.,,58,275,,,,
1922,58,A,,Acceler,,22,1007,,,,
1922,58,A,,Accélérant Pechiney,,11,708,,,,
1922,58,A,,Accessoire d’automobile (Dessin),,25,1126,,,,
1922,58,A,,Accessoires d’automobile.,,11,1083,,,,
1922,58,A,,id.,,11,1084,,,,
1922,58,A,,id.,,11,1085,,,,
1922,58,A,,Acco avec forgeron et A. C. Co dans un triangle,,32,830,,,,
1922,58,A,,Acécode,,25,939,,,,
1922,58,A,,Acépiline,,79,1471,,,,
1922,58,A,,Acésine.,,79,631,,,,
1922,58,A,,Acétocycle,,39,1010,,,,
1922,58,A,,Acétoline (L’).,,33,191,,,,
1922,58,A,,Acéto-lite,,39,1482,,,,
1922,58,A,,Acétostrontium.,,79,29,,,,
1922,58,A,,A. C. F,,32,831,,,,
1922,58,A,,A chacun le sien.,,75,630,,,,
1922,58,A,,A. Chagnaud.,,68,211,,,,
1922,58,A,,A. Chalonne & Co,,68,1838,,,,
1922,58,A,,A. Chapiot & Co.,,68,1242,,,,
1922,58,A,,A. Charpenay.,,68,161,,,,
1922,58,A,,id.,,68,162,,,,
1922,58,A,,Achat d’Or Alfred Danon.,,56,1762,,,,
1922,58,A,,A.C.I. dans un triangle (Dessin).,,39,1786,,,,
1922,58,A,,Acidophiline.,,79,440,,,,
1922,58,A,,Acidosine.,,79,1324,,,,
1922,58,A,,Acier nickel.,,72,782,,,,
1922,58,A,,Acier Nickel (Plumes en).,,72,782,,,,
1922,58,A,,Acier porcelaine.,,38,908,,,,
1922,58,A,,id.,,38,909,,,,
1922,58,A,,Acier *Touille avec chien (Dessin),,16,1220,,,,
1922,58,A,,Aciéro-cément.,,11,1048,,,,
1922,58,A,,Aciéro-cement sur une roue dentée (Dessin),,11,1048,,,,
1922,58,A,,Acium,,8,66,,,,
1922,58,A,,Acnyl,,79,588,,,,
1922,58,A,,Aco-Yes (Pâtes alimentaires).,,65,1355,,,,
1922,58,A,,A. C. S.,,56,1469,,,,
1922,58,A,,Page réelle.,,,1559,,,,
1922,58,A,,Acticapila,,58,1374,,,,
1922,58,A,,Actiderma.,,58,1374,,,,
1922,58,A,,Activa-Oil,,9,492,,,,
1922,58,A,,Activa-Oil avec dessin,,9,791,,,,
1922,58,A,,Actol,,33,501,,,,
1922,58,A,,A. D.,,42,386,,,,
1922,58,A,,A. D,,16,643,,,,
1922,58,A,,A. D. sur une bouteille (Dessin).,,68,880,,,,
1922,58,A,,A.D. avec rouet (Dessin).,,46,910,,,,
1922,58,A,,A.D. dans un cercle.,,14,1049,,,,
1922,58,A,,A.D. dans un écusson (Dessin).,,68,1279,,,,
1922,58,A,,Adam (Rhum).,,68,23,,,,
1922,58,A,,Adam (M. G.).,,40,455,,,,
1922,58,A,,Adam est le premier rhum (Le rhum),,68,24,,,,
1922,58,A,,Adamas….,,8,1458,,,,
1922,58,A,,Page réelle.,,,1548,,,,
1922,58,A,,AdamastorSaint-Étienne,,25,419,,,,
1922,58,A,,Adar (Chronomètre),,21,1856,,,,
1922,58,A,,Adartrol,,79,58,,,,
1922,58,A,,Addisonine.,,79,892,,,,
1922,58,A,,A. D. E,,75,215,,,,
1922,58,A,,A. de Guise & Cie,,68,405,,,,
1922,58,A,,A. Dejean et J. Meurisse,,68,1145,,,,
1922,58,A,,Adéno - Cure de La Bourboule.,,79,442,,,,
1922,58,A,,Adeps Lanac,,11,1332,,,,
1922,58,A,,A D E R A.,,60,610,,,,
1922,58,A,,Adermine,,79,995,,,,
1922,58,A,,A. D’Etriac & Cie,,68,320,,,,
1922,58,A,,Adhérent (L’).,,17,1582,,,,
1922,58,A,,Page réelle.,,,1592,,,,
1922,58,A,,Adhérite,,33,972,,,,
1922,58,A,,Ad Hoc.,,16,1051,,,,
1922,58,A,,Adiantis.,,58,1133,,,,
1922,58,A,,Adiastol.,,40,1340,,,,
1922,58,A,,Adipeuse,,71,1506,,,,
1922,58,A,,Adipiane,,71,536,,,,
1922,58,A,,Adipsa.,,79,846,,,,
1922,58,A,,Adipsa (Tisane),,79,1080,,,,
1922,58,A,,A. D. Johnny.,,68,1802,,,,
1922,58,A,,Adlia (Rhum).,,68,89,,,,
1922,58,A,,Adlor,,56,1169,,,,
1922,58,A,,Adma,,52,1760,,,,
1922,58,A,,Administratif (Vernis),,33,74,,,,
1922,58,A,,Adolol,,79,1115,,,,
1922,58,A,,Adominia,,46,755,,,,
1922,58,A,,Adonia  ,,58,115,,,,
1922,58,A,,Adonis,,52,1095,,,,
1922,58,A,,Adopt,,21,1428,,,,
1922,58,A,,Ador,,65,1675,,,,
1922,58,A,,Adora,,71bis,26,,,,
1922,58,A,,Adoration,,58,1262,,,,
1922,58,A,,A.Doré Blaye.,,68,1108,,,,
1922,58,A,,Adoréis,,58,511,,,,
1922,58,A,,Adorose.,,58,425,,,,
1922,58,A,,Adragol.,,79,1686,,,,
1922,58,A,,Adrema,,22,905,,,,
1922,58,A,,Adrénine,,79,1657,,,,
1922,58,A,,Addresséclair.,,22,6,,,,
1922,58,A,,id.,,72,27,,,,
1922,58,A,,Adriano,,52,1095,,,,
1922,58,A,,Adrien (Brayet).,,16,1818,,,,
1922,58,A,,Adrien Mortier.,,13,1476,,,,
1922,58,A,,A D T sur un écusson (Dessin).,,20,346,,,,
1922,58,A,,A. E. A. dans un losange),,14,709,,,,
1922,58,A,,A. E. B .F. I,,72,1719,,,,
1922,58,A,,A.E.F. dans un triangle sur un globe (Dessin).,,52,506,,,,
1922,58,A,,A. E. L.,,62,1099,,,,
1922,58,A,,Aéolian.,,20,1221,,,,
1922,58,A,,Aercé,,58,426,,,,
1922,58,A,,Aériol,,76,1749,,,,
1922,58,A,,Aériola,,20,555,,,,
1922,58,A,,id.,,76,1749,,,,
1922,58,A,,Aermotor.,,22,1754,,,,
1922,58,A,,Aéro,,66,1641,,,,
1922,58,A,,Aéro (Beurre) avec dessin.,,64,1674,,,,
1922,58,A,,Aéro Talonnette Pneumatique.,,53,114,,,,
1922,58,A,,Aérobus.,,72,1449,,,,
1922,58,A,,Aérocore,,22,1583,,,,
1922,58,A,,Page réelle.,,,1593,,,,
1922,58,A,,Aéro-Naphta.,,79,1449,,,,
1922,58,A,,Aéroplane- (Dessin),,16,1051,,,,
1922,58,A,,id.,,47,1343,,,,
1922,58,A,,id.,,72,1847,,,,
1922,58,A,,Aérothésimètre.,,75,1323,,,,
1922,58,A,,Aérovox,,20,1336,,,,
1922,58,A,,Aerzonator,,22,794,,,,
1922,58,A,,A. E. S,,9,1219,,,,
1922,58,A,,Aesquiarsine.,,79,59,,,,
1922,58,A,,A. et E. T. G. avec ciseaux (Dessin).,,51,1861,,,,
1922,58,A,,Aetna,,22,1784,,,,
1922,58,A,,A. F. entrelacés dans un losange,,16,71,,,,
1922,58,A,,A. F. avec ancre (Dessin),,58,566,,,,
1922,58,A,,A. F.,,48,1403,,,,
1922,58,A,,A et F acier fin.,,42,1340,,,,
1922,58,A,,A. F. A.,,20,5,,,,
1922,58,A,,A. F. G. dans un cercle.,,8,3,,,,
1922,58,A,,A. F. G,,11,144,,,,
1922,58,A,,id.,,11,551,,,,
1922,58,A,,A. F. C. avec Y dans un cercle.,,8,549,,,,
1922,58,A,,Affolant baiser.,,58,1489,,,,
1922,58,A,,Afina,,8,640,,,,
1922,58,A,,id.,,64,1139,,,,
1922,58,A,,Afloxil.,,79,1187,,,,
1922,58,A,,Africa (Langouste),,62,762,,,,
1922,58,A,,Africain (Tonique),,79,632,,,,
1922,58,A,,Africain du R. Père Aniel (Tonique).,,79,632,,,,
1922,58,A,,Afta avec dessin.,,56,1346,,,,
1922,58,A,,Afta Le fétiche du Hoggar avec dessin,,58,1346,,,,
1922,58,A,,A. Fy,,8,746,,,,
1922,58,A,,A. G.,,32,150,,,,
1922,58,A,,A. G,,50,1827,,,,
1922,58,A,,A. G. sur un cachet (Dessin).,,62,1639,,,,
1922,58,A,,A. G. XXXX.,,10,900,,,,
1922,58,A,,Agalma,,11,792,,,,
1922,58,A,,"A. Gaudin (Pâtisserie, biscuitérie).",,66,518,,,,
1922,58,A,,Age d’Or (Chocolat de l’).,,66,917,,,,
1922,58,A,,Agene,,1,445,,,,
1922,58,A,,A. G. F.,,68,404,,,,
1922,58,A,,Agglo (L’),,72,1481,,,,
1922,58,A,,Page réelle.,,,1571,,,,
1922,58,A,,Agglos.,,72,1280,,,,
1922,58,A,,Agile,,16,1518,,,,
1922,58,A,,Aglucol,,11,1517,,,,
1922,58,A,,A. G. M. dans un losange (Dessin).,,22,1088,,,,
1922,58,A,,A. G. M. I. dans un losange (Dessin),,22,1088,,,,
1922,58,A,,Agnella,,44,1522,,,,
1922,58,A,,Agourmol,,79,58,,,,
1922,58,A,,Agrafe (Coton à l’) avec dessin.,,47,1467,,,,
1922,58,A,,Page réelle.,,1557,,,,,
1922,58,A,,Agrafe et porte (Dessin),,46,1466,,,,
1922,58,A,,Page réelle.,,46,1556,,,,
1922,58,A,,Agricine,,13,1455,,,,
1922,58,A,,Agricola.,,14,449,,,,
1922,58,A,,id.,,70,1111,,,,
1922,58,A,,Agricola (Produits),,70,1111,,,,
1922,58,A,,Agriculta,,64,1832,,,,
1922,58,A,,Agriculteurs. (Chocolat des).,,66,468,,,,
1922,58,A,,Agriphos,,13,1752,,,,
1922,58,A,,Agrippa (Dessin).,,11,642,,,,
1922,58,A,,Agy sur un bœuf (Dessin),,79,1116,,,,
1922,58,A,,A. H.,,79,1877,,,,
1922,58,A,,A. Hertzog.,,79,1687,,,,
1922,58,A,,A. H. T. E,,16,1818,,,,
1922,58,A,,Aïeule (L’).,,68,404,,,,
1922,58,A,,Aïeule,,52,1302,,,,
1922,58,A,,Aigle sur des foudres (Dessin),,67,2,,,,
1922,58,A,,Aigle (Dessin).,,68,437,,,,
1922,58,A,,id.,,67,665,,,,
1922,58,A,,id.,,64,763,,,,
1922,58,A,,id.,,66,770,,,,
1922,58,A,,Aigle.,,25,1163,,,,
1922,58,A,,id.,,52,1167,,,,
1922,58,A,,Aigle (Dessin).,,79,1618,,,,
1922,58,A,,id.,,68,1746,,,,
1922,58,A,,Aigle,,9,1781,,,,
1922,58,A,,Aigle sur un globe (Dessin).,,9,34,,,,
1922,58,A,,Aigle sur un écusson renfermant une cloche (Dessin),,68,521,,,,
1922,59,A,,Aigle sur un globe avec les initiales F. M. (Dessin). 48,,,562,,,,
1922,59,A,,Aigle sur un globe dans une etoile (Dessin),,33,831,,,,
1922,59,A,,Aigle sur une banderolle avec The Perfect (Dessin).,,16,1051,,,,
1922,59,A,,Aigle debout sur un paquet de chemises (Dessin). (Dessin),,49,1525,,,,
1922,59,A,,Aigle sur un globe tenant un ruban dans son bec (Dessin),,20,1583,,,,
1922,59,A,,Page réelle.,,,1593,,,,
1922,59,A,,Aigle sur un globe (Dessin),,64,1766,,,,
1922,59,A,,Aigle tenant un écusson renfermant les initiales B. F .A. (Dessin).,,1,998,,,,
1922,59,A,,Aigle supportant un écusson renfermant les initiales G. B,,46,1523,,,,
1922,59,A,,Aigle tenant un serpent (Dessin).,,68,1645,,,,
1922,59,A,,Aigle sur un écusson tenu par 2 haches et renfermant les initiales E. G. A. (Dessin).,,65,1710,,,,
1922,59,A,,Aigle (Dessin) avec E. S,,20,681,,,,
1922,59,A,,Aigle (Dessin) avec J.J. dans un losange,,48,1012,,,,
1922,59,A,,Aigle Royal gruyère avec dessin,,64,517,,,,
1922,59,A,,Aigle chimères et crosse dans un écusson couronné (Dessin).,,68,884,,,,
1922,59,A,,Aigle et soleil (Dessin) avec nouveautés de Paris,,50,562,,,,
1922,59,A,,Aigle américain sur une banderolle (Dessin).,,68,733,,,,
1922,59,A,,Aigle bicéphale (Dessin),,62,871,,,,
1922,59,A,,Aigle Blanc,,68,881,,,,
1922,59,A,,Aigle rouge,,68,881,,,,
1922,59,A,,Aigles (4) (Dessin),,25,829,,,,
1922,59,A,,Aiglon (L’),,66,122,,,,
1922,59,A,,Aiglon avec des sin,,60,310,,,,
1922,59,A,,Aiglon (L’),,52,423,,,,
1922,59,A,,Aiglon (Beurre) avec dessin,,64,570,,,,
1922,59,A,,Aiglonne,,79,408,,,,
1922,59,A,,Aiglonne (L’).,,43,974,,,,
1922,59,A,,Aiglonne (Limonade gazeuse l’).,,69,1109,,,,
1922,59,A,,Aiglonne,,66,1410,,,,
1922,59,A,,Aigoual,,52,391,,,,
1922,59,A,,Aiguisonix,,42,1787,,,,
1922,59,A,,"Aiguisor (L,).",,42,1630,,,,
1922,59,A,,Ailes (Deux) (Dessin) avec S. E. C. A,,75,818,,,,
1922,59,A,,Ailes (Dessin) avec les initiales L. L,,60,1490,,,,
1922,59,A,,Ailes (Deux) avec L (2) et Cortex (Dessin),,22,1820,,,,
1922,59,A,,Ailes et étoile (Dessin) dans une couronne.,,68,888,,,,
1922,59,A,,Ail’s Lands,,64,1530,,,,
1922,59,A,,Aima (Dragées).,,79,702,,,,
1922,59,A,,Aimant (L’) avec dessin,,14,416,,,,
1922,59,A,,Aimant attirant une Clef (Dessin),,68,474,,,,
1922,59,A,,Aimant (Dessin) avec L. F,,20,1255,,,,
1922,59,A,,Aimant avec moteur électrique (Dessin),,20,1255,,,,
1922,59,A,,Aimef,,36,602,,,,
1922,59,A,,Aimez-moi,,52,506,,,,
1922,59,A,,Airlin,,48,273,,,,
1922,59,A,,Airo,,52,391,,,,
1922,59,A,,Airvault sur une étoile (Desoin).,,29,1699,,,,
1922,59,A,,Air-Way,,20,1479,,,,
1922,59,A,,Aix - la - Chapelle (Eau thermale  gazeuse naturelle d'),,69,888,,,,
1922,59,A,,Aixoise (Papete-rie) avec J.B.B.,,72,1540,,,,
1922,59,A,,Ajax (Tricot),,52,976,,,,
1922,59,A,,Ajax,,16,1817,,,,
1922,59,A,,Aji-No-Moto.,,67,615,,,,
1922,59,A,,A.J.M. avec cornue sur un réfrigèrent (Dessin),,58,687,,,,
1922,59,A,,Ajouraïa,,44,1128,,,,
1922,59,A,,Aka,,72,96,,,,
1922,59,A,,Akelis,,42,1092,,,,
1922,59,A,,Aki,,32,1430,,,,
1922,59,A,,A. K. P. E. (Cire jaune et blanche),,32,192,,,,
1922,59,A,,Akto avec renommée (Dessin).,,42,714,,,,
1922,59,A,,A. L. (Produits de beauté),,58,242,,,,
1922,59,A,,A. L. sur un écusson ailé (Dessin).,,78,587,,,,
1922,59,A,,A. L. dans une étoile (Dessin).,,64,1173,,,,
1922,59,A,,A. L. (Demandez le bas) avec dessin,,52,1373,,,,
1922,59,A,,A.L. avec guignol (Dessin),,15,1335,,,,
1922,59,A,,Alaise,,25,600,,,,
1922,59,A,,Alarm,,22,794,,,,
1922,59,A,,Alary,,62,465,,,,
1922,59,A,,Alavoine (Cale-pied J.) (courroie pompe J.),,25,1584,,,,
1922,59,A,,Page réelle.,,,1594,,,,
1922,59,A,,A. L. B. dans un écusson avec 2 ancres et surmonté d’1 pagode (Dessin).,,64,1408,,,,
1922,59,A,,Alba (Blanc),,33,10,,,,
1922,59,A,,Alba,,25,646,,,,
1922,59,A,,id.,,29,1585,,,,
1922,59,A,,Page réelle.,,,1595,,,,
1922,59,A,,Albaline,,11,1854,,,,
1922,59,A,,Alban (Tabac).,,59,395,,,,
1922,59,A,,Albano,,68,990,,,,
1922,59,A,,Albatros (L’) avec dessin,,25,109,,,,
1922,59,A,,Albatros (L’) avec dessin et les initiales P. N. E.,,29,1090,,,,
1922,59,A,,Albert Croizet.,,68,1475,,,,
1922,59,A,,Page réelle.,,,1565,,,,
1922,59,A,,Albert Ley,,68,320,,,,
1922,59,A,,Albert Porte,,68,1498,,,,
1922,59,A,,Albert Robin.,,68,1104,,,,
1922,59,A,,Albert Robin & Co,,68,1104,,,,
1922,59,A,,Albert Robin Monopole,,68,1105,,,,
1922,59,A,,Albert Robin Original,,68,1105,,,,
1922,59,A,,Albert Robin’s Brandy,,68,1105,,,,
1922,59,A,,Albespeyres (Vésicatoires d’).,,79,961,,,,
1922,59,A,,Albina,,58,1132,,,,
1922,59,A,,Alborz et Abramico,,59,428,,,,
1922,59,A,,Albutine,,79,538,,,,
1922,59,A,,A. L. C,,70,212,,,,
1922,59,A,,Alcalino - Correcrectine,,79,31,,,,
1922,59,A,,Alcalins de Bagnoles de l’Orne (Bains),,79,1388,,,,
1922,59,A,,Alch,,20,1221,,,,
1922,59,A,,Alciat (D’),,58,687,,,,
1922,59,A,,Alcool Tubérique,,58,1589,,,,
1922,59,A,,Page réelle.,,,1599,,,,
1922,59,A,,Alcoolat Régénérateur des Cordeliers,,58,1132,,,,
1922,59,A,,Alcoo-Moteur.,,9,791,,,,
1922,59,A,,Alcyon,,20,301,,,,
1922,59,A,,id.,,52,391,,,,
1922,59,A,,Alcyon (L’) avec dessin,,14,748,,,,
1922,59,A,,Alcyon Mill,,72,1719,,,,
1922,59,A,,Alcyon sillonne le Monde,,25,600,,,,
1922,59,A,,Alcyon sillonnent le monde (Les bicyclettes et motocyclettes),,25,600,,,,
1922,59,A,,Aldebaran,,72,1685,,,,
1922,59,A,,Aldine,,72,699,,,,
1922,59,A,,Al-Dor,,59,462,,,,
1922,59,A,,Aldose,,79,672,,,,
1922,59,A,,A. Le Brun avec étoile (Dessin).,,68,164,,,,
1922,59,A,,Ale first Quality.,,68,813,,,,
1922,59,A,,Alexandra,,17,1754,,,,
1922,59,A,,Alexandre Fontaine avec ancre (Dessin),,58,566,,,,
1922,59,A,,Alexane,,58,308,,,,
1922,59,A,,Alexime,,79,737,,,,
1922,59,A,,Alexine,,79,737,,,,
1922,59,A,,id.,,79,737,,,,
1922,59,A,,id.,,79,1113,,,,
1922,59,A,,id.,,68,1770,,,,
1922,59,A,,Alexis Maldant.,,68,532,,,,
1922,59,A,,Alexyle,,79,737,,,,
1922,59,A,,Alfa,,22,1088,,,,
1922,59,A,,Alfaa (Produits).,,15,1662,,,,
1922,59,A,,Alfa-Laval,,22,1088,,,,
1922,59,A,,Alfonsito,,58,688,,,,
1922,59,A,,Alfred (Chaussures),,53,1469,,,,
1922,59,A,,Alfred Gratien.,,68,578,,,,
1922,59,A,,Alga,,68,1610,,,,
1922,59,A,,Alger,,49,1826,,,,
1922,59,A,,Algéria,,65,120,,,,
1922,59,A,,id.,,9,967,,,,
1922,59,A,,Algérie (Fine d’) avec dessin,,68,1803,,,,
1922,59,A,,Algérien (Crêpe).,,45,755,,,,
1922,59,A,,Algériens (Sachets),,15,267,,,,
1922,59,A,,Algérienne,,53,606,,,,
1922,59,A,,Algérienne (Bougie),,70,628,,,,
1922,59,A,,Algérienne (La galette),,66,1140,,,,
1922,59,A,,Algérienne (Bras-serie l’) La meilleures des bières.,,68,1384,,,,
1922,59,A,,Algésiras,,66,20,,,,
1922,59,A,,Algidrase,,79,822,,,,
1922,59,A,,Algosérum.,,79,995,,,,
1922,59,A,,Alguemine Alimentaire,,71bis,26,,,,
1922,59,A,,Algues marines (Bain d’),,11,1693,,,,
1922,59,A,,Alguine (Bain d’),,11,1693,,,,
1922,59,A,,Alhambra (L’) avec dessin,,14,1004,,,,
1922,59,A,,Alhambra (L’).,,66,1870,,,,
1922,59,A,,Ali-Baba (Sésame),,73,1419,,,,
1922,59,A,,Alicia,,8,1046,,,,
1922,59,A,,Alimentation Modèle,,61,1673,,,,
1922,59,A,,Alios avec dessin,,25,1820,,,,
1922,59,A,,Alix (Quinquina).,,68,778,,,,
1922,59,A,,Alizée (Laine).,,44,1401,,,,
1922,59,A,,Aljo.,,42,1701,,,,
1922,59,A,,Alladji,,58,1406,,,,
1922,59,A,,Allain (F.),,66,281,,,,
1922,59,A,,Allégra,,79,1113,,,,
1922,59,A,,Allektor,,66,1100,,,,
1922,59,A,,Allen,,60,1738,,,,
1922,59,A,,Allen (Mme S. A.).,,58,309,,,,
1922,59,A,,Allenburys,,71 bis,1321,,,,
1922,59,A,,Allen’s world’s Hair restorer (MM. S. A.).,,58,309,,,,
1922,59,A,,Alleux (Porto des).,,68,1028,,,,
1922,59,A,,Alliance,,66,1274,,,,
1922,59,A,,id.,,72,1875,,,,
1922,59,A,,Alliance vinicole Bordelaise,,68,1209,,,,
1922,59,A,,Alligator avec dessin,,72,1146,,,,
1922,59,A,,Alliol,,79,820,,,,
